,post_id,date,count
214,763,2023-12-24,3
215,763,2024-02-11,1
216,818,2023-12-17,13
217,818,2023-12-24,20
218,818,2023-12-31,19
219,818,2024-01-07,17
220,818,2024-01-14,17
221,818,2024-01-21,14
222,818,2024-01-28,10
223,818,2024-02-04,6
224,818,2024-02-11,4
225,931,2023-12-24,1
226,931,2023-12-31,10
227,931,2024-01-07,9
228,931,2024-01-14,8
229,931,2024-01-21,3
230,931,2024-01-28,3
231,931,2024-02-04,2
232,931,2024-02-11,3
233,931,2024-02-18,3
234,974,2024-01-14,2
235,974,2024-01-21,13
236,974,2024-01-28,14
237,974,2024-02-04,17
238,974,2024-02-11,8
239,974,2024-02-18,3
240,1014,2024-02-11,1
241,1014,2024-02-18,1
242,1059,2024-02-11,5
243,1059,2024-02-18,3
